,Items,Cotes,Qui
0,+ de 9.5,"1,70",MatchNishiokaSinner
1,- de 9.5,"1,70",MatchNishiokaSinner
2,+ de 1.5,"2,25",Nishioka
3,- de 1.5,"1,40",Nishioka
4,+ de 8.5,"1,70",Sinner
5,- de 8.5,"1,70",Sinner
6,"+ de 12,5","1,70",MatchLeheckaMedjedovic
7,"- de 12,5","1,70",MatchLeheckaMedjedovic
8,+ de 5.5,"1,70",Lehecka
9,- de 5.5,"1,70",Lehecka
10,+ de 7.5,"1,70",Medjedovic
11,- de 7.5,"1,70",Medjedovic
12,+ de 4.5,"1,70",MatchAlcarazMusetti
13,- de  4.5,"1,70",MatchAlcarazMusetti
14,+ de 2.5,"1,55",Alcaraz
15,- de 2.5,"1,95",Alcaraz
16,+ de 1.5,"1,55",Musetti
17,- de 1.5,"1,95",Musetti
18,+ de 16.5,"1,70",MatchGriekspoorKorda
19,- de 16.5,"1,70",MatchGriekspoorKorda
20,+ de 6.5,"1,70",Griekspoor
21,- de 6.5,"1,70",Griekspoor
22,+ de 9.5,"1,70",Korda
23,- de 9.5,"1,70",Korda
24,+ de 9.5,"1,70",MatchMannarinoRodionov
25,- de 9.5,"1,70",MatchMannarinoRodionov
26,+ de 3.5,"1,70",Mannarino
27,- de 3.5,"1,70",Mannarino
28,+ de 5.5,"1,70",Rodionov
29,- de 5.5,"1,70",Rodionov
30,+ de 11.5,"1,70",MatchRuneDimitrov
31,- de 11.5,"1,70",MatchRuneDimitrov
32,+ de 5.5,"1,70",Rune
33,- de 5.5,"1,70",Rune
34,+ de 6.5,"1,70",Dimitrov
35,- de 6.5,"1,70",Dimitrov
